VTX,IDX,Position[0],Position[1],Position[2],Position[3],Normal[0],Normal[1],Normal[2],TexCoord0[0],TexCoord0[1]
18,40,-170484520498847520000000.0000000000,-2329876522668352100000000.0000000000,-1207369952044162200000000.0000000000,1.0000000000,-1950984146389247900000000.0000000000,-15804581179465490000000000.0000000000,-8912871828920078200000000.0000000000,0.7522301674,-0.1895556897
19,10,-1525061796094221200000000.0000000000,-678830526194910420000000.0000000000,-1693905709292013200000000.0000000000,1.0000000000,-10546508566558768000000000.0000000000,-4919233594388787400000000.0000000000,-11815674534789105000000000.0000000000,0.7534852624,-0.1008741334
20,3,-1155286146612795600000000.0000000000,-441905048911812310000000.0000000000,-1250523083385656100000000.0000000000,1.0000000000,-22755283217558624000000000.0000000000,-10758651888013951000000000.0000000000,-25559075330455025000000000.0000000000,0.5710113645,-0.1005762964
21,40,-170484520498847520000000.0000000000,-2329876522668352100000000.0000000000,-1207369952044162200000000.0000000000,1.0000000000,-1950984146389247900000000.0000000000,-15804581179465490000000000.0000000000,-8912871828920078200000000.0000000000,0.7522301674,-0.1895556897
22,3,-1155286146612795600000000.0000000000,-441905048911812310000000.0000000000,-1250523083385656100000000.0000000000,1.0000000000,-22755283217558624000000000.0000000000,-10758651888013951000000000.0000000000,-25559075330455025000000000.0000000000,0.5710113645,-0.1005762964
23,32,2202412259307592600000000.0000000000,-5147065871678660200000000.0000000000,-321178711025554290000000.0000000000,1.0000000000,-556222368211554900000000.0000000000,-43019402823253050000000000.0000000000,-19935613069700779000000000.0000000000,0.5981906056,-0.1872537285
24,476,-1964255425828777300000000.0000000000,1379945728037178500000000.0000000000,-1163587757906717200000000.0000000000,1.0000000000,-13660904650325281000000000.0000000000,8510483200607462600000000.0000000000,-8583263676428779000000000.0000000000,0.7540277243,-0.1911253035
25,4,-1155286146612795600000000.0000000000,-441905048911812310000000.0000000000,-1250523083385656100000000.0000000000,1.0000000000,-22755283217558624000000000.0000000000,-10758651888013951000000000.0000000000,-25559075330455025000000000.0000000000,0.5725904703,-0.0950414464
26,9,-1525061796094221200000000.0000000000,-678830526194910420000000.0000000000,-1693905709292013200000000.0000000000,1.0000000000,-10546508566558768000000000.0000000000,-4919233594388787400000000.0000000000,-11815674534789105000000000.0000000000,0.7530395389,-0.0992421880
27,476,-1964255425828777300000000.0000000000,1379945728037178500000000.0000000000,-1163587757906717200000000.0000000000,1.0000000000,-13660904650325281000000000.0000000000,8510483200607462600000000.0000000000,-8583263676428779000000000.0000000000,0.7540277243,-0.1911253035
28,469,-2780536821457351800000000.0000000000,5158509770533387800000000.0000000000,-199559471462775290000000.0000000000,1.0000000000,-34066201800101825000000000.0000000000,27491500899384616000000000.0000000000,-18572748017869539000000000.0000000000,0.5940848589,-0.1886681616
29,4,-1155286146612795600000000.0000000000,-441905048911812310000000.0000000000,-1250523083385656100000000.0000000000,1.0000000000,-22755283217558624000000000.0000000000,-10758651888013951000000000.0000000000,-25559075330455025000000000.0000000000,0.5725904703,-0.0950414464
30,33,7481771117838682000000000.0000000000,-915506720231434320000000.0000000000,6392506444726445100000000.0000000000,1.0000000000,28577534509980192000000000.0000000000,-14054509746155049000000000.0000000000,19648627848774042000000000.0000000000,0.3344826102,-0.9882287979
31,429,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2666689157,-0.9552026391
32,5,6404367701165840400000000.0000000000,2732790883187068500000000.0000000000,7060163288044270200000000.0000000000,1.0000000000,19204685047131634000000000.0000000000,8747104198526953400000000.0000000000,21420670507197775000000000.0000000000,0.2672997713,-0.9884735942
33,470,4229817375284141100000000.0000000000,6040336771311494600000000.0000000000,6575872845426641100000000.0000000000,1.0000000000,5823942628268826300000000.0000000000,32716744072447658000000000.0000000000,20074357949408176000000000.0000000000,0.1972840428,-0.9860295653
34,5,6404367701165840400000000.0000000000,2732790883187068500000000.0000000000,7060163288044270200000000.0000000000,1.0000000000,19204685047131634000000000.0000000000,8747104198526953400000000.0000000000,21420670507197775000000000.0000000000,0.2672997713,-0.9884735942
35,429,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2666689157,-0.9552026391
36,6,6404367701165840400000000.0000000000,2732790883187068500000000.0000000000,7060163288044270200000000.0000000000,1.0000000000,19204685047131634000000000.0000000000,8747104198526953400000000.0000000000,21420670507197775000000000.0000000000,0.5981693864,-0.1952124834
37,8,3517929563133202800000000.0000000000,1767236272786215100000000.0000000000,3998347342416857500000000.0000000000,1.0000000000,33815194647647849000000000.0000000000,16008912304805457000000000.0000000000,37991290780733706000000000.0000000000,0.7555968165,-0.1947788894
38,48,5040110496617787600000000.0000000000,-1457019971772027000000000.0000000000,3926810868899011900000000.0000000000,1.0000000000,39918874079343949000000000.0000000000,-1176939165390816800000000.0000000000,35781707493782647000000000.0000000000,0.7536231279,-0.2780180275
39,6,6404367701165840400000000.0000000000,2732790883187068500000000.0000000000,7060163288044270200000000.0000000000,1.0000000000,19204685047131634000000000.0000000000,8747104198526953400000000.0000000000,21420670507197775000000000.0000000000,0.5981693864,-0.1952124834
40,483,1962129150343906200000000.0000000000,4908764490666204900000000.0000000000,4001936963521450900000000.0000000000,1.0000000000,24468833556367634000000000.0000000000,31436849016695449000000000.0000000000,36457118887140458000000000.0000000000,0.7545046806,-0.2774764299
41,8,3517929563133202800000000.0000000000,1767236272786215100000000.0000000000,3998347342416857500000000.0000000000,1.0000000000,33815194647647849000000000.0000000000,16008912304805457000000000.0000000000,37991290780733706000000000.0000000000,0.7555968165,-0.1947788894
42,35,7481771117838682000000000.0000000000,-915506720231434320000000.0000000000,6392506444726445100000000.0000000000,1.0000000000,28577534509980192000000000.0000000000,-14054509746155049000000000.0000000000,19648627848774042000000000.0000000000,0.6019436121,-0.2975417972
43,6,6404367701165840400000000.0000000000,2732790883187068500000000.0000000000,7060163288044270200000000.0000000000,1.0000000000,19204685047131634000000000.0000000000,8747104198526953400000000.0000000000,21420670507197775000000000.0000000000,0.5981693864,-0.1952124834
44,48,5040110496617787600000000.0000000000,-1457019971772027000000000.0000000000,3926810868899011900000000.0000000000,1.0000000000,39918874079343949000000000.0000000000,-1176939165390816800000000.0000000000,35781707493782647000000000.0000000000,0.7536231279,-0.2780180275
45,472,4229817375284141100000000.0000000000,6040336771311494600000000.0000000000,6575872845426641100000000.0000000000,1.0000000000,5823942628268826300000000.0000000000,32716744072447658000000000.0000000000,20074357949408176000000000.0000000000,0.5977128744,-0.2966606617
46,483,1962129150343906200000000.0000000000,4908764490666204900000000.0000000000,4001936963521450900000000.0000000000,1.0000000000,24468833556367634000000000.0000000000,31436849016695449000000000.0000000000,36457118887140458000000000.0000000000,0.7545046806,-0.2774764299
47,6,6404367701165840400000000.0000000000,2732790883187068500000000.0000000000,7060163288044270200000000.0000000000,1.0000000000,19204685047131634000000000.0000000000,8747104198526953400000000.0000000000,21420670507197775000000000.0000000000,0.5981693864,-0.1952124834
48,58,-776436580352.0000000000,139080335360.0000000000,-643490906112.0000000000,1.0000000000,-5278153048064.0000000000,309149302784.0000000000,-4661786443776.0000000000,0.6205832362,-0.9821146131
49,7,3517929563133202800000000.0000000000,1767236272786215100000000.0000000000,3998347342416857500000000.0000000000,1.0000000000,33815194647647849000000000.0000000000,16008912304805457000000000.0000000000,37991290780733706000000000.0000000000,0.5395097136,-0.9901556969
50,30,-585885810688.0000000000,-324654465024.0000000000,-679596195840.0000000000,1.0000000000,-4424417148928.0000000000,-2080729595904.0000000000,-4964545986560.0000000000,0.5384916067,-0.9809356332
51,916,-340461682688.0000000000,-762583056384.0000000000,-654129233920.0000000000,1.0000000000,-3074835873792.0000000000,-4256007454720.0000000000,-4719324430336.0000000000,0.6205832362,-0.9821146131
52,30,-585885810688.0000000000,-324654465024.0000000000,-679596195840.0000000000,1.0000000000,-4424417148928.0000000000,-2080729595904.0000000000,-4964545986560.0000000000,0.5384916067,-0.9809356332
53,7,3517929563133202800000000.0000000000,1767236272786215100000000.0000000000,3998347342416857500000000.0000000000,1.0000000000,33815194647647849000000000.0000000000,16008912304805457000000000.0000000000,37991290780733706000000000.0000000000,0.5395097136,-0.9901556969
54,46,5040110496617787600000000.0000000000,-1457019971772027000000000.0000000000,3926810868899011900000000.0000000000,1.0000000000,39918874079343949000000000.0000000000,-1176939165390816800000000.0000000000,35781707493782647000000000.0000000000,0.6145913005,-0.9913031459
55,7,3517929563133202800000000.0000000000,1767236272786215100000000.0000000000,3998347342416857500000000.0000000000,1.0000000000,33815194647647849000000000.0000000000,16008912304805457000000000.0000000000,37991290780733706000000000.0000000000,0.5395097136,-0.9901556969
56,58,-776436580352.0000000000,139080335360.0000000000,-643490906112.0000000000,1.0000000000,-5278153048064.0000000000,309149302784.0000000000,-4661786443776.0000000000,0.6205832362,-0.9821146131
57,482,1962129150343906200000000.0000000000,4908764490666204900000000.0000000000,4001936963521450900000000.0000000000,1.0000000000,24468833556367634000000000.0000000000,31436849016695449000000000.0000000000,36457118887140458000000000.0000000000,0.6145913005,-0.9913031459
58,916,-340461682688.0000000000,-762583056384.0000000000,-654129233920.0000000000,1.0000000000,-3074835873792.0000000000,-4256007454720.0000000000,-4719324430336.0000000000,0.6205832362,-0.9821146131
59,7,3517929563133202800000000.0000000000,1767236272786215100000000.0000000000,3998347342416857500000000.0000000000,1.0000000000,33815194647647849000000000.0000000000,16008912304805457000000000.0000000000,37991290780733706000000000.0000000000,0.5395097136,-0.9901556969
60,11,-1525061796094221200000000.0000000000,-678830526194910420000000.0000000000,-1693905709292013200000000.0000000000,1.0000000000,-10546508566558768000000000.0000000000,-4919233594388787400000000.0000000000,-11815674534789105000000000.0000000000,0.9953739643,-0.9857995510
61,41,-170484520498847520000000.0000000000,-2329876522668352100000000.0000000000,-1207369952044162200000000.0000000000,1.0000000000,-1950984146389247900000000.0000000000,-15804581179465490000000000.0000000000,-8912871828920078200000000.0000000000,0.9178889394,-0.9824858904
62,136,-1931408692162528300000000.0000000000,598415836515651670000000.0000000000,-1486684209739996900000000.0000000000,1.0000000000,-3573249907458377000000000.0000000000,-1161692931413895900000000.0000000000,-3775178344382743200000000.0000000000,0.9946563244,-0.9745259881
63,11,-1525061796094221200000000.0000000000,-678830526194910420000000.0000000000,-1693905709292013200000000.0000000000,1.0000000000,-10546508566558768000000000.0000000000,-4919233594388787400000000.0000000000,-11815674534789105000000000.0000000000,0.9953739643,-0.9857995510
64,136,-1931408692162528300000000.0000000000,598415836515651670000000.0000000000,-1486684209739996900000000.0000000000,1.0000000000,-3573249907458377000000000.0000000000,-1161692931413895900000000.0000000000,-3775178344382743200000000.0000000000,0.9946563244,-0.9745259881
65,477,-1964255425828777300000000.0000000000,1379945728037178500000000.0000000000,-1163587757906717200000000.0000000000,1.0000000000,-13660904650325281000000000.0000000000,8510483200607462600000000.0000000000,-8583263676428779000000000.0000000000,0.9178889394,-0.9824858904
66,54,3558856547164489000000000.0000000000,-842051641214734810000000.0000000000,2857098015122650200000000.0000000000,1.0000000000,16237370618472331000000000.0000000000,2507219773198105800000000.0000000000,15903139827208311000000000.0000000000,0.5570914149,-0.9288128018
67,12,4607833531219744100000000.0000000000,-3304113352574835400000000.0000000000,2699342324495414600000000.0000000000,1.0000000000,27584730743933144000000000.0000000000,-24190633597306001000000000.0000000000,14167532947094668000000000.0000000000,0.5425848365,-0.9151226282
68,449,9849319638900439000000000.0000000000,-81453904300473739000000.0000000000,8922908587078433100000000.0000000000,1.0000000000,41009773018688966000000000.0000000000,-33140027673649015000000000.0000000000,22338004031553259000000000.0000000000,0.6028060317,-0.8961798549
69,990,463153356212919480000000.0000000000,5185217197187605400000000.0000000000,2763213022929129300000000.0000000000,1.0000000000,-2339979862043598100000000.0000000000,36615843896522692000000000.0000000000,14408852100145432000000000.0000000000,0.5425848365,-0.9151226282
70,12,4607833531219744100000000.0000000000,-3304113352574835400000000.0000000000,2699342324495414600000000.0000000000,1.0000000000,27584730743933144000000000.0000000000,-24190633597306001000000000.0000000000,14167532947094668000000000.0000000000,0.5425848365,-0.9151226282
71,54,3558856547164489000000000.0000000000,-842051641214734810000000.0000000000,2857098015122650200000000.0000000000,1.0000000000,16237370618472331000000000.0000000000,2507219773198105800000000.0000000000,15903139827208311000000000.0000000000,0.5570914149,-0.9288128018
72,131,2918221878071639200000000.0000000000,-4402937474342519900000000.0000000000,666059974976350560000000.0000000000,1.0000000000,44685219905928327000000.0000000000,-11797516021091548000000000.0000000000,-5287677331302015900000000.0000000000,0.9893598557,-0.9277954102
73,12,4607833531219744100000000.0000000000,-3304113352574835400000000.0000000000,2699342324495414600000000.0000000000,1.0000000000,27584730743933144000000000.0000000000,-24190633597306001000000000.0000000000,14167532947094668000000000.0000000000,0.5425848365,-0.9151226282
74,990,463153356212919480000000.0000000000,5185217197187605400000000.0000000000,2763213022929129300000000.0000000000,1.0000000000,-2339979862043598100000000.0000000000,36615843896522692000000000.0000000000,14408852100145432000000000.0000000000,0.5425848365,-0.9151226282
75,449,9849319638900439000000000.0000000000,-81453904300473739000000.0000000000,8922908587078433100000000.0000000000,1.0000000000,41009773018688966000000000.0000000000,-33140027673649015000000000.0000000000,22338004031553259000000000.0000000000,0.6028060317,-0.8961798549
76,12,4607833531219744100000000.0000000000,-3304113352574835400000000.0000000000,2699342324495414600000000.0000000000,1.0000000000,27584730743933144000000000.0000000000,-24190633597306001000000000.0000000000,14167532947094668000000000.0000000000,0.5425848365,-0.9151226282
77,450,8166473905602119300000000.0000000000,-1625411939740013100000000.0000000000,6694736170247845500000000.0000000000,1.0000000000,24029766459768208000000000.0000000000,-49953547755618526000000000.0000000000,-702108443718486890000000.0000000000,0.5765239596,-0.8932788968
78,451,8166473905602119300000000.0000000000,-1625411939740013100000000.0000000000,6694736170247845500000000.0000000000,1.0000000000,24029766459768208000000000.0000000000,-49953547755618526000000000.0000000000,-702108443718486890000000.0000000000,0.6449665427,-0.8938590884
79,13,4607833531219744100000000.0000000000,-3304113352574835400000000.0000000000,2699342324495414600000000.0000000000,1.0000000000,27584730743933144000000000.0000000000,-24190633597306001000000000.0000000000,14167532947094668000000000.0000000000,0.6481696963,-0.9225159883
80,130,2918221878071639200000000.0000000000,-4402937474342519900000000.0000000000,666059974976350560000000.0000000000,1.0000000000,44685219905928327000000.0000000000,-11797516021091548000000000.0000000000,-5287677331302015900000000.0000000000,0.6643040776,-0.9301548004
81,14,-997620672093295470000000.0000000000,-749627400567550770000000.0000000000,-1246080300367653700000000.0000000000,1.0000000000,-9129341488321298300000000.0000000000,-4152992162594287700000000.0000000000,-10180442153788039000000000.0000000000,0.9954180717,-0.9437941313
82,55,-1221362528000011300000000.0000000000,-1798242079039983200000000.0000000000,-1923217761333048900000000.0000000000,1.0000000000,-10727644064147550000000000.0000000000,8717017558942733200000000.0000000000,-5821663302454218500000000.0000000000,0.9582740068,-0.9623927474
83,114,295315150855114860000000.0000000000,-2253520981376437900000000.0000000000,-749157152708859250000000.0000000000,1.0000000000,-20258712403837820000000000.0000000000,673411651008070160000000.0000000000,-18124736556237373000000000.0000000000,0.9615106583,-0.9423855543
84,136,-1931408692162528300000000.0000000000,598415836515651670000000.0000000000,-1486684209739996900000000.0000000000,1.0000000000,-3573249907458377000000000.0000000000,-1161692931413895900000000.0000000000,-3775178344382743200000000.0000000000,0.9946563244,-0.9745259881
85,55,-1221362528000011300000000.0000000000,-1798242079039983200000000.0000000000,-1923217761333048900000000.0000000000,1.0000000000,-10727644064147550000000000.0000000000,8717017558942733200000000.0000000000,-5821663302454218500000000.0000000000,0.9582740068,-0.9623927474
86,14,-997620672093295470000000.0000000000,-749627400567550770000000.0000000000,-1246080300367653700000000.0000000000,1.0000000000,-9129341488321298300000000.0000000000,-4152992162594287700000000.0000000000,-10180442153788039000000000.0000000000,0.9954180717,-0.9437941313
87,131,2918221878071639200000000.0000000000,-4402937474342519900000000.0000000000,666059974976350560000000.0000000000,1.0000000000,44685219905928327000000.0000000000,-11797516021091548000000000.0000000000,-5287677331302015900000000.0000000000,0.9893598557,-0.9277954102
88,14,-997620672093295470000000.0000000000,-749627400567550770000000.0000000000,-1246080300367653700000000.0000000000,1.0000000000,-9129341488321298300000000.0000000000,-4152992162594287700000000.0000000000,-10180442153788039000000000.0000000000,0.9954180717,-0.9437941313
89,114,295315150855114860000000.0000000000,-2253520981376437900000000.0000000000,-749157152708859250000000.0000000000,1.0000000000,-20258712403837820000000000.0000000000,673411651008070160000000.0000000000,-18124736556237373000000000.0000000000,0.9615106583,-0.9423855543
90,131,2918221878071639200000000.0000000000,-4402937474342519900000000.0000000000,666059974976350560000000.0000000000,1.0000000000,44685219905928327000000.0000000000,-11797516021091548000000000.0000000000,-5287677331302015900000000.0000000000,0.9893598557,-0.9277954102
91,135,-1462446196833459100000000.0000000000,4561448905016025300000000.0000000000,729816534181109200000000.0000000000,1.0000000000,-9659629463747474500000000.0000000000,7632992914068934500000000.0000000000,-5339713290490941300000000.0000000000,1.0010430813,-0.9277954698
92,14,-997620672093295470000000.0000000000,-749627400567550770000000.0000000000,-1246080300367653700000000.0000000000,1.0000000000,-9129341488321298300000000.0000000000,-4152992162594287700000000.0000000000,-10180442153788039000000000.0000000000,0.9954180717,-0.9437941313
93,134,-1462446196833459100000000.0000000000,4561448905016025300000000.0000000000,729816534181109200000000.0000000000,1.0000000000,-9659629463747474500000000.0000000000,7632992914068934500000000.0000000000,-5339713290490941300000000.0000000000,0.9893598557,-0.9277954102
94,14,-997620672093295470000000.0000000000,-749627400567550770000000.0000000000,-1246080300367653700000000.0000000000,1.0000000000,-9129341488321298300000000.0000000000,-4152992162594287700000000.0000000000,-10180442153788039000000000.0000000000,0.9954180717,-0.9437941313
95,132,2918221878071639200000000.0000000000,-4402937474342519900000000.0000000000,666059974976350560000000.0000000000,1.0000000000,44685219905928327000000.0000000000,-11797516021091548000000000.0000000000,-5287677331302015900000000.0000000000,1.0010430813,-0.9277954698
96,134,-1462446196833459100000000.0000000000,4561448905016025300000000.0000000000,729816534181109200000000.0000000000,1.0000000000,-9659629463747474500000000.0000000000,7632992914068934500000000.0000000000,-5339713290490941300000000.0000000000,0.9893598557,-0.9277954102
97,911,-1388747995494475600000000.0000000000,1187079686484586300000000.0000000000,-727169354348937840000000.0000000000,1.0000000000,-12357578770834948000000000.0000000000,-15918011361696234000000000.0000000000,-18430739217382599000000000.0000000000,0.9615106583,-0.9423855543
98,14,-997620672093295470000000.0000000000,-749627400567550770000000.0000000000,-1246080300367653700000000.0000000000,1.0000000000,-9129341488321298300000000.0000000000,-4152992162594287700000000.0000000000,-10180442153788039000000000.0000000000,0.9954180717,-0.9437941313
99,136,-1931408692162528300000000.0000000000,598415836515651670000000.0000000000,-1486684209739996900000000.0000000000,1.0000000000,-3573249907458377000000000.0000000000,-1161692931413895900000000.0000000000,-3775178344382743200000000.0000000000,0.9946563244,-0.9745259881
100,14,-997620672093295470000000.0000000000,-749627400567550770000000.0000000000,-1246080300367653700000000.0000000000,1.0000000000,-9129341488321298300000000.0000000000,-4152992162594287700000000.0000000000,-10180442153788039000000000.0000000000,0.9954180717,-0.9437941313
101,910,-3182688236170394600000000.0000000000,-178606708383614690000000.0000000000,-2975884382433422100000000.0000000000,1.0000000000,9908207410591242900000.0000000000,-21295255705926642000000000.0000000000,-9608946457944205200000000.0000000000,0.9582740068,-0.9623927474
102,14,-997620672093295470000000.0000000000,-749627400567550770000000.0000000000,-1246080300367653700000000.0000000000,1.0000000000,-9129341488321298300000000.0000000000,-4152992162594287700000000.0000000000,-10180442153788039000000000.0000000000,0.9954180717,-0.9437941313
103,911,-1388747995494475600000000.0000000000,1187079686484586300000000.0000000000,-727169354348937840000000.0000000000,1.0000000000,-12357578770834948000000000.0000000000,-15918011361696234000000000.0000000000,-18430739217382599000000000.0000000000,0.9615106583,-0.9423855543
104,910,-3182688236170394600000000.0000000000,-178606708383614690000000.0000000000,-2975884382433422100000000.0000000000,1.0000000000,9908207410591242900000.0000000000,-21295255705926642000000000.0000000000,-9608946457944205200000000.0000000000,0.9582740068,-0.9623927474
105,53,2244968753770452400000000.0000000000,51661043527146092000000.0000000000,2065528483139007000000000.0000000000,1.0000000000,7656373009260856700000000.0000000000,11731942457595529000000000.0000000000,12263533810782663000000000.0000000000,0.6295068264,-0.9609368443
106,30,-585885810688.0000000000,-324654465024.0000000000,-679596195840.0000000000,1.0000000000,-4424417148928.0000000000,-2080729595904.0000000000,-4964545986560.0000000000,0.5384916067,-0.9809356332
107,15,-0.1374185532,-0.0875283033,-0.0000696608,1.0000000000,-0.8561607003,-0.5166360736,-0.0086978544,0.5368834138,-0.9605042338
108,30,-585885810688.0000000000,-324654465024.0000000000,-679596195840.0000000000,1.0000000000,-4424417148928.0000000000,-2080729595904.0000000000,-4964545986560.0000000000,0.5384916067,-0.9809356332
109,918,1182388592997529200000000.0000000000,1096923890955310300000000.0000000000,1571014941424840900000000.0000000000,1.0000000000,10932490545400076000000000.0000000000,-1508249894714044200000000.0000000000,9263833817058953100000000.0000000000,0.6295068264,-0.9609368443
110,15,-0.1374185532,-0.0875283033,-0.0000696608,1.0000000000,-0.8561607003,-0.5166360736,-0.0086978544,0.5368834138,-0.9605042338
111,54,3558856547164489000000000.0000000000,-842051641214734810000000.0000000000,2857098015122650200000000.0000000000,1.0000000000,16237370618472331000000000.0000000000,2507219773198105800000000.0000000000,15903139827208311000000000.0000000000,0.5570914149,-0.9288128018
112,53,2244968753770452400000000.0000000000,51661043527146092000000.0000000000,2065528483139007000000000.0000000000,1.0000000000,7656373009260856700000000.0000000000,11731942457595529000000000.0000000000,12263533810782663000000000.0000000000,0.6295068264,-0.9609368443
113,15,-0.1374185532,-0.0875283033,-0.0000696608,1.0000000000,-0.8561607003,-0.5166360736,-0.0086978544,0.5368834138,-0.9605042338
114,54,3558856547164489000000000.0000000000,-842051641214734810000000.0000000000,2857098015122650200000000.0000000000,1.0000000000,16237370618472331000000000.0000000000,2507219773198105800000000.0000000000,15903139827208311000000000.0000000000,0.5570914149,-0.9288128018
115,15,-0.1374185532,-0.0875283033,-0.0000696608,1.0000000000,-0.8561607003,-0.5166360736,-0.0086978544,0.5368834138,-0.9605042338
116,917,752582626614234270000000.0000000000,1371652619539353400000000.0000000000,1304111307265346600000000.0000000000,1.0000000000,5421717138349112500000000.0000000000,4974342089387490000000000.0000000000,7178662289670018900000000.0000000000,0.5570914149,-0.9288128018
117,917,752582626614234270000000.0000000000,1371652619539353400000000.0000000000,1304111307265346600000000.0000000000,1.0000000000,5421717138349112500000000.0000000000,4974342089387490000000000.0000000000,7178662289670018900000000.0000000000,0.5570914149,-0.9288128018
118,15,-0.1374185532,-0.0875283033,-0.0000696608,1.0000000000,-0.8561607003,-0.5166360736,-0.0086978544,0.5368834138,-0.9605042338
119,918,1182388592997529200000000.0000000000,1096923890955310300000000.0000000000,1571014941424840900000000.0000000000,1.0000000000,10932490545400076000000000.0000000000,-1508249894714044200000000.0000000000,9263833817058953100000000.0000000000,0.6295068264,-0.9609368443
120,16,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.0377123952,-0.0824308991
121,22,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.0930378288,-0.0659348667
122,261,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.0703248978,-0.1732512712
123,261,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.0703248978,-0.1732512712
124,263,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.0454770923,-0.1768542528
125,16,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.0377123952,-0.0824308991
126,891,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.0703248978,-0.1732512712
127,16,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.0377123952,-0.0824308991
